"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko04930","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0127603618011615,"BH",0.0549962004294695
"ko03430","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00775941718959479,"BH",0.0487859515271536
"ko00906","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0588089444409889,"BH",0.122676722812386
"ko00900","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00803940458481336,"BH",0.0487859515271536
"ko00903","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0121802974621881,"BH",0.0547369388927148
"ko00471","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00840823717183631,"BH",0.0487859515271536
"ko00472","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.466896849828239,"BH",0.545538044132114
"ko00473","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0018615265928618,"BH",0.0407722735012026
"ko05111","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.060825315453177,"BH",0.124868901565252
"ko04210","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.360481099241092,"BH",0.452642933674899
"ko00240","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00636680083900915,"BH",0.0472578874412031
"ko04011","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0347209779885068,"BH",0.0878138917270108
"ko00944","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.190200535036028,"BH",0.276396283123516
"ko04113","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0180246261274734,"BH",0.0623026921825086
"ko04070","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0521171295311952,"BH",0.114245459085332
"ko03420","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00756610178932068,"BH",0.0487859515271536
"ko00770","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0296417213938207,"BH",0.0821499135771602
"ko02040","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.178478370307835,"BH",0.265324167354176
"ko00670","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0286331187143222,"BH",0.0801888889790311
